Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
80,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
81,303,303-14-000007,WO-000004,06/02/2016,53843200,6919414,46923786,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
82,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
83,303,303-14-000007,WO-000004,06/02/2016,655500,65550,589950,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
84,303,303-14-000007,WO-000004,06/02/2016,171005,17100,153905,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
85,303,303-14-000007,WO-000004,06/02/2016,21229400,3099500,18129900,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
86,303,303-14-000007,WO-000004,06/02/2016,28675800,4186675,24489125,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
87,303,303-14-000007,WO-000004,06/02/2016,30573200,4463700,26109500,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
88,303,303-14-000007,WO-000004,06/02/2016,684021,68402,615619,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
89,303,303-14-000007,WO-000004,06/02/2016,31002800,4884386,26118414,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
90,303,303-14-000007,WO-000004,06/02/2016,30322600,4427255,25895345,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
91,303,303-14-000007,WO-000004,06/02/2016,29356000,4285980,25070020,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
92,303,303-14-000007,WO-000004,06/02/2016,684021,68405,615616,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
