Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
3859,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3860,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3861,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3862,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3863,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3864,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3865,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3866,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3867,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3868,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3869,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3870,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3871,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3872,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3873,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3874,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3875,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3876,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3877,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3878,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3879,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3880,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3881,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3882,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3883,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3884,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3885,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3886,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3887,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3888,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3889,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3890,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3891,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3892,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3893,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3894,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3895,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3896,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3897,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3898,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3899,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3900,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3901,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3902,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3903,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3904,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3905,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3906,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3907,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3908,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3909,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3910,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3911,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3912,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3913,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3914,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3915,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3916,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3917,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3918,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3919,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3920,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3921,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3922,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3923,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3924,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3925,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3926,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3927,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3928,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3929,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3930,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3931,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3932,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3933,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3934,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3935,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3936,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3937,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3938,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3939,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3940,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3941,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3942,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3943,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3944,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3945,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3946,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3947,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3948,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3949,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3950,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3951,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3952,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3953,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3954,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3955,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3956,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3957,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3958,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3959,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3960,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3961,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3962,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3963,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3964,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3965,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3966,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3967,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3968,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3969,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3970,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3971,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3972,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3973,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3974,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3975,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
